smoothed_pct_hes_dontlike,smoothed_hes_dontlike_se,sample_size,country,iso_code,gid_0,survey_date
0.104182,0.01972,241.0,Algeria,DZA,DZA,20210206
0.041759,0.0062,1042.0,Argentina,ARG,ARG,20210206
0.048661,0.008806,598.0,Australia,AUS,AUS,20210206
0.117869,0.021355,229.0,Austria,AUT,AUT,20210206
0.051864,0.015799,198.0,Bangladesh,BGD,BGD,20210206
0.073435,0.02245,136.0,Belarus,BLR,BLR,20210206
0.154073,0.021731,277.0,Belgium,BEL,BEL,20210206
0.06816,0.014502,303.0,Bolivia,BOL,BOL,20210206
0.065114,0.004806,2637.0,Brazil,BRA,BRA,20210206
0.096972,0.018716,251.0,Bulgaria,BGR,BGR,20210206
0.090714,0.010323,775.0,Canada,CAN,CAN,20210206
0.069522,0.012125,441.0,Chile,CHL,CHL,20210206
0.070645,0.008119,997.0,Colombia,COL,COL,20210206
0.120515,0.032556,101.0,Costa Rica,CRI,CRI,20210206
0.102222,0.025512,142.0,Croatia,HRV,HRV,20210206
0.109096,0.014457,466.0,Czech Republic,CZE,CZE,20210206
0.154974,0.026606,186.0,Denmark,DNK,DNK,20210206
0.117979,0.025827,157.0,Dominican Republic,DOM,DOM,20210206
0.028909,0.008388,400.0,Ecuador,ECU,ECU,20210206
0.080824,0.011817,533.0,Egypt,EGY,EGY,20210206
0.088149,0.021431,176.0,El Salvador,SLV,SLV,20210206
0.09834,0.006454,2130.0,France,FRA,FRA,20210206
0.106602,0.007536,1678.0,Germany,DEU,DEU,20210206
0.066946,0.020544,149.0,Ghana,GHA,GHA,20210206
0.033281,0.009036,395.0,Greece,GRC,GRC,20210206
0.08416,0.021548,167.0,Guatemala,GTM,GTM,20210206
0.08448,0.023674,139.0,Honduras,HND,HND,20210206
0.084451,0.026274,113.0,Hong Kong,HKG,HKG,20210206
0.109483,0.01368,522.0,Hungary,HUN,HUN,20210206
0.039276,0.005093,1456.0,India,IND,IND,20210206
0.101885,0.010419,844.0,Indonesia,IDN,IDN,20210206
0.164715,0.02249,273.0,Iraq,IRQ,IRQ,20210206
0.066238,0.022516,123.0,Ireland,IRL,IRL,20210206
0.128033,0.028546,138.0,Israel,ISR,ISR,20210206
0.062193,0.006881,1233.0,Italy,ITA,ITA,20210206
0.087058,0.003753,5643.0,Japan,JPN,JPN,20210206
0.232028,0.036197,137.0,Jordan,JOR,JOR,20210206
0.102132,0.028238,116.0,Kazakhstan,KAZ,KAZ,20210206
0.046005,0.01646,163.0,Kenya,KEN,KEN,20210206
0.051598,0.020719,115.0,Lebanon,LBN,LBN,20210206
0.046998,0.010635,397.0,Malaysia,MYS,MYS,20210206
0.054113,0.00448,2551.0,Mexico,MEX,MEX,20210206
0.10182,0.030394,100.0,Morocco,MAR,MAR,20210206
0.029783,0.015991,114.0,Nepal,NPL,NPL,20210206
0.10845,0.014757,445.0,Netherlands,NLD,NLD,20210206
0.085337,0.018667,225.0,New Zealand,NZL,NZL,20210206
0.091299,0.017306,278.0,Nigeria,NGA,NGA,20210206
0.110002,0.01975,252.0,Norway,NOR,NOR,20210206
0.027979,0.011901,193.0,Pakistan,PAK,PAK,20210206
0.085295,0.025605,120.0,Paraguay,PRY,PRY,20210206
